iter	Passed	Remaining
0	200	199885
1	212	105895
2	223	74434
3	235	58639
4	246	49078
5	258	42754
6	269	38213
7	280	34820
8	292	32216
9	302	29946
10	313	28204
11	324	26725
12	335	25507
13	346	24436
14	360	23640
15	371	22876
16	383	22180
17	394	21537
18	406	21012
19	418	20520
20	429	20012
21	440	19590
22	451	19194
23	462	18816
24	473	18454
25	484	18160
26	495	17845
27	505	17562
28	517	17312
29	527	17047
30	538	16844
31	549	16632
32	561	16439
33	572	16253
34	584	16119
35	596	15975
36	608	15842
37	619	15676
38	631	15564
39	641	15407
40	654	15311
41	665	15183
42	677	15085
43	689	14975
44	700	14873
45	712	14775
46	724	14685
47	736	14603
48	748	14523
49	759	14431
50	771	14361
51	783	14289
52	795	14221
53	808	14163
54	820	14094
55	831	14024
56	844	13972
57	855	13899
58	867	13828
59	878	13767
60	891	13724
61	903	13675
62	916	13632
63	929	13588
64	941	13542
65	954	13500
66	964	13437
67	977	13397
68	990	13361
69	1002	13320
70	1014	13274
71	1028	13257
72	1041	13222
73	1054	13191
74	1064	13131
75	1075	13077
76	1088	13043
77	1100	13011
78	1112	12969
79	1123	12923
80	1135	12883
81	1148	12856
82	1159	12806
83	1169	12751
84	1181	12714
85	1192	12674
86	1203	12632
87	1215	12601
88	1228	12572
89	1241	12550
90	1252	12515
91	1265	12492
92	1276	12448
93	1287	12412
94	1299	12381
95	1313	12364
96	1325	12339
97	1337	12309
98	1349	12282
99	1362	12260
100	1375	12247
101	1389	12229
102	1401	12205
103	1415	12190
104	1426	12156
105	1437	12127
106	1448	12092
107	1461	12067
108	1472	12033
109	1483	12001
110	1496	11987
111	1508	11963
112	1520	11934
113	1532	11911
114	1545	11892
115	1557	11869
116	1570	11848
117	1583	11833
118	1594	11802
119	1605	11774
120	1617	11746
121	1629	11727
122	1641	11704
123	1653	11678
124	1664	11654
125	1677	11633
126	1689	11612
127	1700	11585
128	1712	11560
129	1724	11543
130	1736	11520
131	1748	11497
132	1761	11484
133	1775	11474
134	1788	11457
135	1800	11441
136	1812	11417
137	1825	11401
138	1837	11383
139	1851	11370
140	1864	11358
141	1875	11333
142	1887	11312
143	1899	11291
144	1910	11263
145	1920	11232
146	1932	11215
147	1945	11201
148	1957	11180
149	1969	11158
150	1981	11139
151	1994	11124
152	2005	11102
153	2016	11079
154	2026	11049
155	2039	11031
156	2049	11006
157	2061	10986
158	2072	10961
159	2083	10938
160	2095	10917
161	2106	10897
162	2119	10881
163	2131	10863
164	2142	10842
165	2155	10828
166	2168	10817
167	2180	10797
168	2192	10779
169	2204	10763
170	2217	10751
171	2228	10729
172	2240	10708
173	2253	10695
174	2265	10678
175	2276	10656
176	2287	10636
177	2299	10619
178	2311	10601
179	2322	10580
180	2334	10564
181	2347	10548
182	2359	10532
183	2371	10515
184	2382	10495
185	2393	10474
186	2405	10457
187	2416	10438
188	2428	10419
189	2440	10403
190	2452	10389
191	2464	10371
192	2476	10353
193	2487	10336
194	2498	10316
195	2511	10301
196	2522	10281
197	2533	10261
198	2544	10242
199	2556	10227
200	2568	10210
201	2580	10192
202	2591	10175
203	2603	10157
204	2614	10138
205	2626	10124
206	2639	10111
207	2651	10095
208	2662	10076
209	2674	10059
210	2687	10047
211	2698	10031
212	2708	10008
213	2720	9993
214	2732	9976
215	2742	9954
216	2754	9937
217	2765	9919
218	2776	9903
219	2789	9888
220	2801	9873
221	2812	9856
222	2824	9839
223	2835	9823
224	2846	9803
225	2858	9788
226	2869	9769
227	2880	9753
228	2892	9736
229	2904	9725
230	2918	9715
231	2929	9696
232	2940	9679
233	2951	9662
234	2963	9648
235	2975	9632
236	2987	9618
237	3001	9608
238	3012	9592
239	3024	9576
240	3035	9559
241	3047	9544
242	3057	9524
243	3068	9505
244	3079	9489
245	3091	9474
246	3102	9459
247	3115	9445
248	3127	9431
249	3139	9419
250	3151	9405
251	3164	9391
252	3176	9378
253	3188	9364
254	3201	9354
255	3213	9338
256	3225	9325
257	3238	9313
258	3250	9299
259	3262	9284
260	3273	9268
261	3285	9254
262	3298	9242
263	3310	9229
264	3322	9215
265	3335	9204
266	3347	9190
267	3358	9173
268	3370	9159
269	3382	9144
270	3395	9133
271	3406	9117
272	3419	9105
273	3430	9088
274	3442	9074
275	3453	9060
276	3471	9061
277	3484	9050
278	3499	9043
279	3512	9031
280	3525	9020
281	3539	9011
282	3554	9005
283	3566	8990
284	3578	8977
285	3589	8961
286	3601	8947
287	3614	8935
288	3626	8922
289	3636	8903
290	3649	8891
291	3660	8876
292	3672	8861
293	3684	8847
294	3695	8831
295	3707	8816
296	3719	8804
297	3730	8788
298	3741	8772
299	3754	8759
300	3765	8745
301	3778	8732
302	3789	8717
303	3802	8705
304	3815	8695
305	3828	8683
306	3840	8669
307	3853	8656
308	3863	8640
309	3875	8625
310	3887	8612
311	3899	8599
312	3911	8585
313	3924	8573
314	3936	8561
315	3949	8548
316	3960	8534
317	3973	8521
318	3985	8508
319	3998	8496
320	4010	8482
321	4021	8468
322	4033	8453
323	4045	8439
324	4056	8425
325	4068	8411
326	4080	8397
327	4092	8385
328	4103	8369
329	4116	8357
330	4129	8346
331	4155	8360
332	4166	8346
333	4178	8331
334	4190	8318
335	4202	8305
336	4215	8292
337	4227	8280
338	4240	8268
339	4254	8258
340	4265	8243
341	4278	8230
342	4290	8217
343	4302	8204
344	4312	8187
345	4325	8176
346	4337	8162
347	4349	8149
348	4361	8135
349	4374	8123
350	4385	8109
351	4397	8095
352	4409	8082
353	4420	8066
354	4430	8050
355	4441	8035
356	4452	8020
357	4464	8006
358	4475	7991
359	4487	7978
360	4498	7963
361	4510	7950
362	4522	7935
363	4534	7922
364	4544	7906
365	4556	7892
366	4567	7878
367	4579	7864
368	4590	7849
369	4602	7836
370	4613	7821
371	4625	7807
372	4636	7793
373	4647	7779
374	4659	7765
375	4670	7751
376	4682	7737
377	4693	7722
378	4704	7709
379	4715	7694
380	4727	7681
381	4739	7667
382	4751	7654
383	4762	7640
384	4774	7627
385	4785	7612
386	4798	7601
387	4810	7587
388	4822	7574
389	4833	7560
390	4845	7546
391	4856	7532
392	4869	7520
393	4880	7507
394	4892	7494
395	4904	7481
396	4917	7469
397	4929	7455
398	4940	7441
399	4950	7426
400	4961	7411
401	4973	7398
402	4985	7385
403	4996	7371
404	5008	7358
405	5020	7345
406	5032	7332
407	5044	7319
408	5056	7306
409	5069	7294
410	5080	7281
411	5092	7268
412	5105	7256
413	5117	7243
414	5128	7229
415	5140	7217
416	5153	7204
417	5166	7193
418	5179	7181
419	5190	7167
420	5201	7153
421	5213	7140
422	5225	7128
423	5237	7114
424	5248	7101
425	5260	7087
426	5271	7074
427	5283	7060
428	5295	7047
429	5307	7035
430	5321	7024
431	5332	7011
432	5344	6999
433	5355	6984
434	5366	6970
435	5378	6957
436	5390	6945
437	5402	6932
438	5414	6919
439	5426	6907
440	5437	6892
441	5449	6880
442	5460	6866
443	5473	6854
444	5485	6841
445	5497	6828
446	5510	6816
447	5520	6802
448	5533	6790
449	5543	6775
450	5554	6761
451	5565	6747
452	5576	6734
453	5588	6720
454	5599	6706
455	5610	6693
456	5620	6678
457	5633	6666
458	5643	6652
459	5654	6638
460	5666	6625
461	5677	6611
462	5687	6596
463	5698	6582
464	5709	6569
465	5721	6556
466	5732	6542
467	5743	6529
468	5755	6516
469	5766	6502
470	5778	6490
471	5789	6476
472	5802	6465
473	5814	6452
474	5825	6439
475	5837	6426
476	5849	6413
477	5861	6400
478	5872	6387
479	5884	6375
480	5896	6362
481	5908	6350
482	5920	6336
483	5932	6324
484	5944	6311
485	5955	6299
486	5966	6285
487	5978	6272
488	5989	6258
489	6001	6246
490	6013	6233
491	6023	6219
492	6035	6206
493	6046	6193
494	6058	6180
495	6069	6166
496	6080	6153
497	6092	6141
498	6103	6128
499	6115	6115
500	6128	6103
501	6139	6090
502	6151	6077
503	6162	6064
504	6177	6055
505	6189	6042
506	6200	6028
507	6211	6015
508	6223	6003
509	6234	5989
510	6245	5976
511	6256	5963
512	6268	5950
513	6279	5937
514	6290	5923
515	6301	5911
516	6316	5900
517	6326	5887
518	6339	5875
519	6353	5864
520	6364	5851
521	6377	5839
522	6388	5826
523	6399	5813
524	6412	5801
525	6424	5789
526	6436	5777
527	6447	5763
528	6458	5750
529	6473	5740
530	6485	5728
531	6496	5714
532	6507	5701
533	6517	5687
534	6529	5675
535	6542	5663
536	6554	5651
537	6566	5638
538	6578	5626
539	6590	5613
540	6602	5601
541	6614	5589
542	6626	5576
543	6637	5564
544	6649	5551
545	6660	5538
546	6672	5525
547	6683	5512
548	6695	5500
549	6708	5488
550	6720	5476
551	6732	5463
552	6744	5451
553	6757	5440
554	6770	5428
555	6782	5416
556	6793	5403
557	6804	5390
558	6816	5377
559	6828	5364
560	6839	5352
561	6851	5339
562	6862	5326
563	6872	5313
564	6884	5300
565	6896	5287
566	6907	5274
567	6920	5263
568	6931	5250
569	6943	5237
570	6953	5224
571	6964	5211
572	6976	5198
573	6987	5185
574	7000	5174
575	7012	5162
576	7023	5149
577	7035	5136
578	7046	5123
579	7057	5110
580	7069	5098
581	7080	5085
582	7092	5072
583	7103	5059
584	7114	5047
585	7125	5034
586	7137	5021
587	7148	5008
588	7160	4996
589	7172	4984
590	7183	4971
591	7195	4959
592	7206	4946
593	7218	4933
594	7230	4921
595	7241	4908
596	7253	4896
597	7263	4882
598	7274	4869
599	7285	4856
600	7296	4844
601	7308	4832
602	7319	4818
603	7331	4806
604	7342	4793
605	7353	4781
606	7365	4768
607	7377	4756
608	7388	4743
609	7400	4731
610	7413	4719
611	7424	4707
612	7436	4694
613	7447	4681
614	7458	4669
615	7470	4656
616	7481	4644
617	7493	4632
618	7504	4619
619	7517	4607
620	7530	4595
621	7541	4583
622	7552	4570
623	7564	4558
624	7576	4545
625	7586	4532
626	7597	4519
627	7608	4506
628	7633	4502
629	7645	4490
630	7656	4477
631	7667	4464
632	7677	4451
633	7688	4438
634	7699	4425
635	7711	4413
636	7722	4400
637	7732	4387
638	7744	4375
639	7755	4362
640	7766	4349
641	7778	4337
642	7789	4324
643	7803	4313
644	7815	4301
645	7827	4289
646	7838	4276
647	7850	4264
648	7862	4252
649	7873	4239
650	7886	4228
651	7897	4215
652	7911	4203
653	7923	4191
654	7934	4179
655	7948	4168
656	7959	4155
657	7970	4142
658	7981	4130
659	7994	4118
660	8005	4105
661	8017	4093
662	8028	4081
663	8041	4068
664	8054	4057
665	8065	4044
666	8075	4031
667	8086	4018
668	8104	4009
669	8120	3999
670	8133	3987
671	8146	3976
672	8160	3965
673	8173	3953
674	8184	3940
675	8195	3927
676	8207	3916
677	8220	3903
678	8232	3892
679	8246	3880
680	8256	3867
681	8268	3855
682	8280	3843
683	8292	3831
684	8304	3818
685	8315	3806
686	8326	3793
687	8339	3781
688	8351	3769
689	8365	3758
690	8375	3745
691	8387	3733
692	8397	3720
693	8408	3707
694	8418	3694
695	8429	3681
696	8441	3669
697	8451	3656
698	8463	3644
699	8474	3631
700	8484	3618
701	8497	3607
702	8507	3594
703	8519	3581
704	8531	3569
705	8542	3557
706	8553	3544
707	8564	3532
708	8577	3520
709	8590	3508
710	8603	3496
711	8615	3484
712	8627	3472
713	8640	3460
714	8652	3448
715	8665	3437
716	8676	3424
717	8687	3412
718	8699	3399
719	8710	3387
720	8721	3374
721	8732	3362
722	8744	3350
723	8756	3338
724	8767	3325
725	8778	3313
726	8790	3300
727	8802	3288
728	8814	3276
729	8825	3264
730	8837	3252
731	8848	3239
732	8860	3227
733	8870	3214
734	8883	3202
735	8893	3190
736	8904	3177
737	8915	3165
738	8927	3153
739	8939	3140
740	8951	3128
741	8962	3116
742	8974	3104
743	8985	3091
744	8996	3079
745	9008	3067
746	9020	3055
747	9031	3042
748	9043	3030
749	9053	3017
750	9065	3005
751	9079	2994
752	9089	2981
753	9101	2969
754	9112	2957
755	9123	2944
756	9134	2932
757	9146	2920
758	9158	2908
759	9169	2895
760	9181	2883
761	9192	2871
762	9203	2858
763	9214	2846
764	9227	2834
765	9238	2822
766	9249	2809
767	9260	2797
768	9271	2785
769	9283	2772
770	9297	2761
771	9332	2756
772	9345	2744
773	9358	2732
774	9370	2720
775	9382	2708
776	9403	2698
777	9416	2686
778	9429	2675
779	9442	2663
780	9455	2651
781	9468	2639
782	9480	2627
783	9491	2615
784	9501	2602
785	9512	2589
786	9523	2577
787	9534	2565
788	9546	2552
789	9557	2540
790	9567	2527
791	9579	2515
792	9589	2503
793	9601	2491
794	9613	2479
795	9625	2466
796	9636	2454
797	9648	2442
798	9660	2430
799	9671	2417
800	9683	2405
801	9695	2393
802	9706	2381
803	9717	2368
804	9729	2356
805	9741	2344
806	9752	2332
807	9773	2322
808	9785	2310
809	9796	2297
810	9807	2285
811	9819	2273
812	9830	2261
813	9841	2248
814	9852	2236
815	9863	2224
816	9874	2211
817	9885	2199
818	9897	2187
819	9908	2174
820	9919	2162
821	9930	2150
822	9941	2138
823	9953	2126
824	9965	2113
825	9976	2101
826	9988	2089
827	10000	2077
828	10010	2064
829	10021	2052
830	10033	2040
831	10045	2028
832	10055	2016
833	10067	2003
834	10081	1992
835	10095	1980
836	10106	1968
837	10119	1956
838	10131	1944
839	10145	1932
840	10160	1920
841	10173	1909
842	10186	1897
843	10198	1885
844	10210	1872
845	10221	1860
846	10233	1848
847	10245	1836
848	10255	1824
849	10267	1811
850	10278	1799
851	10289	1787
852	10299	1775
853	10312	1763
854	10324	1750
855	10336	1738
856	10347	1726
857	10357	1714
858	10368	1701
859	10382	1690
860	10393	1677
861	10405	1665
862	10416	1653
863	10427	1641
864	10439	1629
865	10451	1617
866	10463	1605
867	10475	1593
868	10487	1581
869	10500	1568
870	10512	1557
871	10525	1545
872	10537	1532
873	10549	1520
874	10560	1508
875	10572	1496
876	10584	1484
877	10597	1472
878	10609	1460
879	10619	1448
880	10632	1436
881	10643	1423
882	10654	1411
883	10666	1399
884	10678	1387
885	10689	1375
886	10702	1363
887	10713	1351
888	10725	1339
889	10738	1327
890	10750	1315
891	10761	1302
892	10772	1290
893	10785	1278
894	10797	1266
895	10808	1254
896	10820	1242
897	10830	1230
898	10842	1218
899	10854	1206
900	10868	1194
901	10880	1182
902	10891	1169
903	10902	1157
904	10913	1145
905	10924	1133
906	10936	1121
907	10949	1109
